time,GRDC_1160815,US_09447000
2001-01-01,4.089,0.793
2001-01-02,6.633,0.821
2001-01-03,6.530,0.821
2001-01-04,4.725,0.821
2001-01-05,4.242,0.765
2001-01-06,3.968,0.793
2001-01-07,3.804,0.821
2001-01-08,3.694,0.821
2001-01-09,2.710,0.906
2001-01-10,1.587,0.906
2001-01-11,1.347,0.821
2001-01-12,1.157,0.793
2001-01-13,1.028,0.878
2001-01-14,0.914,0.821
2001-01-15,0.881,0.793
2001-01-16,0.947,0.793
2001-01-17,0.965,0.850
2001-01-18,0.830,0.793
2001-01-19,0.747,0.736
2001-01-20,0.693,0.708
2001-01-21,0.691,0.736
2001-01-22,0.627,0.736
2001-01-23,0.590,0.765
2001-01-24,0.550,0.765
2001-01-25,0.511,0.765
2001-01-26,0.514,0.736
2001-01-27,0.492,0.821
2001-01-28,0.459,0.906
2001-01-29,0.428,0.850
2001-01-30,0.447,0.821
2001-01-31,0.497,0.793
2001-02-01,0.435,0.765
2001-02-02,0.405,0.736
2001-02-03,0.373,0.736
2001-02-04,0.335,0.651
2001-02-05,0.310,0.623
2001-02-06,0.299,0.595
2001-02-07,0.292,0.538
2001-02-08,1.253,0.623
2001-02-09,18.243,0.651
2001-02-10,4.306,0.680
2001-02-11,2.112,0.651
2001-02-12,1.363,0.566
2001-02-13,0.980,0.623
2001-02-14,1.645,0.793
2001-02-15,1.824,0.821
2001-02-16,1.184,0.906
2001-02-17,1.000,0.934
2001-02-18,12.050,0.878
2001-02-19,25.605,0.793
2001-02-20,7.668,0.736
2001-02-21,4.010,0.680
2001-02-22,2.790,0.651
2001-02-23,2.256,0.708
2001-02-24,2.176,0.765
2001-02-25,2.221,0.793
2001-02-26,1.847,0.850
2001-02-27,1.599,0.850
2001-02-28,2.509,0.906
2001-03-01,1.796,0.934
2001-03-02,1.386,0.934
2001-03-03,1.137,0.934
2001-03-04,0.979,0.906
2001-03-05,0.854,0.878
2001-03-06,0.772,0.821
2001-03-07,0.696,0.821
2001-03-08,0.618,0.963
2001-03-09,0.580,1.019
2001-03-10,0.553,1.161
2001-03-11,0.565,1.614
2001-03-12,0.620,1.812
2001-03-13,0.594,1.671
2001-03-14,0.527,1.444
2001-03-15,0.507,1.246
2001-03-16,0.465,1.189
2001-03-17,0.431,1.189
2001-03-18,0.456,1.161
2001-03-19,0.600,1.133
2001-03-20,0.760,1.104
2001-03-21,1.543,1.104
2001-03-22,0.980,1.104
2001-03-23,1.886,1.161
2001-03-24,13.249,1.161
2001-03-25,12.186,1.161
2001-03-26,5.868,1.161
2001-03-27,4.448,1.133
2001-03-28,3.879,1.048
2001-03-29,3.580,0.934
2001-03-30,3.371,0.878
2001-03-31,3.230,0.821
2001-04-01,3.419,0.850
2001-04-02,3.501,0.963
2001-04-03,2.252,0.963
2001-04-04,0.972,0.934
2001-04-05,0.978,0.963
2001-04-06,1.213,2.662
2001-04-07,1.124,4.446
2001-04-08,1.371,3.568
2001-04-09,2.207,3.115
2001-04-10,1.421,2.775
2001-04-11,2.046,2.577
2001-04-12,5.141,2.407
2001-04-13,1.586,2.265
2001-04-14,1.139,2.180
2001-04-15,1.191,2.039
2001-04-16,1.229,1.897
2001-04-17,1.085,1.756
2001-04-18,0.953,1.586
2001-04-19,0.851,1.359
2001-04-20,0.867,1.218
2001-04-21,0.841,1.189
2001-04-22,0.823,1.189
2001-04-23,0.804,1.189
2001-04-24,0.706,1.189
2001-04-25,0.684,1.189
2001-04-26,0.657,1.161
2001-04-27,0.648,1.161
2001-04-28,0.648,1.133
2001-04-29,0.705,1.076
2001-04-30,0.766,0.991
2001-05-01,2.468,0.934
2001-05-02,1.012,0.906
2001-05-03,0.839,0.878
2001-05-04,0.848,0.850
2001-05-05,0.726,0.878
2001-05-06,0.598,0.850
2001-05-07,0.556,0.821
2001-05-08,0.517,0.793
2001-05-09,0.489,0.793
2001-05-10,0.468,0.765
2001-05-11,0.451,0.765
2001-05-12,0.447,0.821
2001-05-13,0.439,0.934
2001-05-14,0.433,0.934
2001-05-15,0.425,0.991
2001-05-16,0.413,0.906
2001-05-17,0.401,0.850
2001-05-18,0.388,0.850
2001-05-19,0.381,1.019
2001-05-20,0.377,1.133
2001-05-21,0.361,1.048
2001-05-22,0.356,0.906
2001-05-23,0.371,0.878
2001-05-24,0.355,0.821
2001-05-25,0.351,0.765
2001-05-26,0.336,0.765
2001-05-27,0.315,0.821
2001-05-28,0.316,0.821
2001-05-29,0.317,0.793
2001-05-30,0.313,0.793
2001-05-31,0.338,0.793
2001-06-01,0.341,0.850
2001-06-02,0.326,0.878
2001-06-03,0.326,0.850
2001-06-04,0.319,0.850
2001-06-05,0.308,0.878
2001-06-06,0.297,0.793
2001-06-07,0.298,0.736
2001-06-08,0.301,0.736
2001-06-09,0.294,0.708
2001-06-10,0.285,0.651
2001-06-11,0.282,0.680
2001-06-12,0.279,0.680
2001-06-13,0.273,0.651
2001-06-14,0.271,0.623
2001-06-15,0.261,0.765
2001-06-16,0.268,0.878
2001-06-17,0.268,0.850
2001-06-18,0.274,0.878
2001-06-19,0.266,0.821
2001-06-20,0.254,0.821
2001-06-21,0.261,0.850
2001-06-22,0.272,0.878
2001-06-23,0.280,0.821
2001-06-24,0.298,0.850
2001-06-25,0.295,0.793
2001-06-26,0.294,0.821
2001-06-27,0.291,0.793
2001-06-28,0.287,0.736
2001-06-29,0.286,0.708
2001-06-30,0.291,0.595
2001-07-01,0.295,0.566
2001-07-02,0.295,0.566
2001-07-03,0.284,0.566
2001-07-04,0.271,0.538
2001-07-05,0.267,0.538
